"","alpha","beta","theta","p","delta1","delta2","delta3","delta4","tau1","tau2"
"20",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"21",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"22",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"23",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"24",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"25",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"26",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"27",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"28",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"29",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"30",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"31",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"32",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"33",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"34",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"35",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"36",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"37",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"38",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"39",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"40",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"41",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"42",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"43",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"44",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"45",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"46",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"47",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"48",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"49",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"50",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"51",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"52",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"53",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"54",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"55",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"56",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"57",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"58",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"59",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"60",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"61",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"62",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"63",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"64",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"65",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"66",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"67",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"68",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"69",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
