"","alpha","beta","theta","p","delta1","delta2","delta3","delta4","tau1","tau2"
"105",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"106",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"107",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"108",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"109",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"110",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"111",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"112",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"113",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"114",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"115",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"116",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"117",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"118",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"119",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"120",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"121",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"122",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"123",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"124",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"125",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"126",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"127",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"128",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"129",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"130",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"131",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"132",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"133",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"134",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"135",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"136",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"137",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"138",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"139",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"140",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"141",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"142",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"143",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"144",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"145",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"146",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"147",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"148",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"149",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"150",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"151",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"152",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"153",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"154",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"155",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"156",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"157",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"158",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"159",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"160",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"161",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"162",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"163",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"164",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"165",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"166",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"167",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"168",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"169",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"170",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"171",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"172",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"173",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"174",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"175",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"176",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"177",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"178",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"179",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"180",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"181",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"182",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"183",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"184",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"185",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"186",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"187",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"188",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"189",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"190",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"191",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"192",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"193",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"194",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"195",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"196",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"197",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"198",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"199",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"200",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"201",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"202",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"203",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
